Record ID,ATD Device ID,Read Date,Intersection Name,Direction,Movement,Heavy Vehicle,Volume,Speed Average (Miles Per Hour),Speed StdDev,Seconds in Zone Average,Seconds in Zone StdDev,Month,Day,Year,Hour,Minute,Day of Week,Bin Duration (Seconds)
8fb6a7d9984ac0bf04f6ee6ef868cfbd,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,EASTBOUND,THRU,false,13,11.769,4.658,0.577,1.215,1,19,2020,16,0,0,900
b633f6cd1c26c637c56522cdd24ac6e4,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,NORTHBOUND,LEFT TURN,false,5,7.4,3.912,4.5,5.539,1,19,2020,16,0,0,900
db19a12c06b74323a96cdeed0b48538b,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,NORTHBOUND,RIGHT TURN,false,31,4.839,2.41,3.229,3.671,1,19,2020,16,0,0,900
bf4eaca5bfd4d049f35bb44216308107,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,NORTHBOUND,THRU,false,44,10.75,13.672,7.573,13.737,1,19,2020,16,0,0,900
7d071de8986ae2e002c6a968a43b436b,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,NORTHBOUND,THRU,true,2,6,8.485,1.8,0.707,1,19,2020,16,0,0,900
30b25bac84c56864e44b4d7e769488ff,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,SOUTHBOUND,LEFT TURN,false,6,5.333,1.366,3.067,3.442,1,19,2020,16,0,0,900
987ffa5be9f73698d979daac7af826ef,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,SOUTHBOUND,RIGHT TURN,false,3,4,2,5.633,6.783,1,19,2020,16,0,0,900
eea00173289172665b94177244c65d77,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,SOUTHBOUND,THRU,false,35,7.514,3.484,4.757,8.513,1,19,2020,16,0,0,900
64aef63b6cac7b3da3751ffd1224f21d,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,WESTBOUND,LEFT TURN,false,13,3.385,1.85,12.723,24.598,1,19,2020,16,0,0,900
8168351599c52d8335c992a1357f31e1,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,WESTBOUND,RIGHT TURN,false,4,6.25,4.787,9.85,11.384,1,19,2020,16,0,0,900
e7249e66c6a81dccc5a6b171867f591c,6353,01/19/2020 04:00:00 PM,ENFIELD RD / EXPOSITION BLVD,WESTBOUND,THRU,false,22,7.364,3.836,9.232,22.558,1,19,2020,16,0,0,900
80b786cca26cbf90a14c541244a50b71,6353,01/19/2020 04:15:00 PM,ENFIELD RD / EXPOSITION BLVD,EASTBOUND,RIGHT TURN,false,1,3,0,22.6,0,1,19,2020,16,15,0,900
7811d03933ee56c78ef22d99c2270a47,6353,01/19/2020 04:15:00 PM,ENFIELD RD / EXPOSITION BLVD,EASTBOUND,THRU,false,17,13.118,4.54,5.818,16.332,1,19,2020,16,15,0,900
